Latitude,Longitude,City,Month,Day,Minutes,% of day duration,Zip
37.279027,-82.57732,Dorton,1,15,592.68,0.412,41520
38.730747,-83.88762,Dover,1,15,585.34,0.406,41034
36.983441,-86.394012,Drake,1,15,594.16,0.413,42128
37.227223,-87.01349,Drakesboro,1,15,592.96,0.412,42337
37.496608,-82.75942,Drift,1,15,591.6,0.411,41619
38.691006,-84.6418,Dry Ridge,1,15,585.55,0.407,41035
36.8395,-85.55526,Dubre,1,15,594.86,0.413,42731
37.170909,-86.767822,Dunbar,1,15,593.23,0.412,42219
37.559872,-86.77254,Dundee,1,15,591.3,0.411,42338
37.094139,-86.9746,Dunmor,1,15,593.61,0.412,42339
37.180186,-85.02396,Dunnville,1,15,593.18,0.412,42528
37.623492,-82.72417,Dwale,1,15,590.97,0.41,41621
37.348289,-83.11137,Dwarf,1,15,592.34,0.411,41739
37.157866,-88.183598,Dycusburg,1,15,593.3,0.412,42037
37.275896,-87.51498,Earlington,1,15,592.72,0.412,42410
37.231717,-84.13026,East Bernstadt,1,15,592.92,0.412,40729
37.756007,-82.81931,East Point,1,15,590.31,0.41,41216
37.514748,-82.81097,Eastern,1,15,591.51,0.411,41622
37.606543,-86.10413,Eastview,1,15,591.07,0.41,42732
38.22977,-85.66304,Eastwood,1,15,587.92,0.408,40018
37.051386,-88.03613,Eddyville,1,15,593.83,0.412,42038
36.988613,-85.58534,Edmonton,1,15,594.13,0.413,42129
37.690636,-83.074592,Edna,1,15,590.63,0.41,41419
36.91297,-85.775282,Eighty Eight,1,15,594.5,0.413,42130
37.915077,-86.14434,Ekron,1,15,589.52,0.409,40117
37.704287,-85.86403,Elizabethtown,1,15,590.58,0.41,42701
37.723474,-85.976854,Elizabethtown,1,15,590.48,0.41,42702
38.3481,-83.718626,Elizaville,1,15,587.31,0.408,41037
37.353227,-85.1628,Elk Horn,1,15,592.33,0.411,42733
37.997666,-83.16103,Elkfork,1,15,589.09,0.409,41421
37.300397,-82.39516,Elkhorn City,1,15,592.58,0.412,41522
36.887716,-87.18526,Elkton,1,15,594.63,0.413,42220
38.176471,-83.268234,Elliottville,1,15,588.18,0.408,40317
37.690636,-83.074592,Elsie,1,15,590.63,0.41,41422
38.365096,-83.27206,Emerson,1,15,587.22,0.408,41135
38.370336,-85.17208,Eminence,1,15,587.2,0.408,40019
36.705162,-84.14595,Emlyn,1,15,595.51,0.414,40730
37.348377,-83.04938,Emmalena,1,15,592.34,0.411,41740
37.048238,-82.81775,Eolia,1,15,593.82,0.412,40826
37.147687,-83.737014,Eriline,1,15,593.34,0.412,40931
39.013755,-84.60229,Erlanger,1,15,583.87,0.405,41018
37.150537,-82.79468,Ermine,1,15,593.32,0.412,41815
37.043142,-83.48892,Essie,1,15,593.85,0.412,40827
36.82928,-85.90806,Etoile,1,15,594.91,0.413,42131
37.250746,-84.61781,Eubank,1,15,592.83,0.412,42567
36.86772,-83.17747,Evarts,1,15,594.71,0.413,40828
38.424954,-83.86286,Ewing,1,15,586.92,0.408,41039
37.891486,-83.44413,Ezel,1,15,589.63,0.409,41425
38.106135,-85.75362,Fairdale,1,15,588.55,0.409,40118
37.93388,-85.385382,Fairfield,1,15,589.42,0.409,40080
37.9348,-85.38765,Fairfield,1,15,589.41,0.409,40020
37.045089,-85.29683,Fairplay,1,15,593.85,0.412,42735
36.898071,-87.496529,Fairview,1,15,594.58,0.413,42221
37.784924,-82.99783,Falcon,1,15,590.16,0.41,41426
37.147687,-83.737014,Fall Rock,1,15,593.34,0.412,40932
37.600179,-86.52846,Falls Of Rough,1,15,591.1,0.41,40119
38.656527,-84.32811,Falmouth,1,15,585.73,0.407,41040
36.800353,-88.83224,Fancy Farm,1,15,595.06,0.413,42039
